,step,proposed,current,best
0,0,0.4543671807696015,0.4543671807696015,0.4543671807696015
1,1,0.47015906612839076,0.4543671807696015,0.4543671807696015
2,2,0.4788147222047589,0.4543671807696015,0.4543671807696015
3,3,0.46471906612839087,0.4543671807696015,0.4543671807696015
4,4,0.4901187795253643,0.4543671807696015,0.4543671807696015
5,5,0.45521529541081207,0.4543671807696015,0.4543671807696015
6,6,0.4766709514871802,0.4543671807696015,0.4543671807696015
7,7,0.4513752954108121,0.4513752954108121,0.4513752954108121
8,8,0.4681193527314174,0.4513752954108121,0.4513752954108121
9,9,0.44411935273141734,0.44411935273141734,0.44411935273141734
10,10,0.4652393527314175,0.44411935273141734,0.44411935273141734
11,11,0.4681350088077856,0.44411935273141734,0.44411935273141734
12,12,0.4414474673726281,0.4414474673726281,0.4414474673726281
13,13,0.4688790661283908,0.4414474673726281,0.4414474673726281
14,14,0.46236718076960137,0.4414474673726281,0.4414474673726281
15,15,0.4367436966550494,0.4367436966550494,0.4367436966550494
16,16,0.4621512380902068,0.4367436966550494,0.4367436966550494
17,17,0.4779509514871802,0.4367436966550494,0.4367436966550494
18,18,0.4654552954108121,0.4367436966550494,0.4367436966550494
19,19,0.44281586861686534,0.4367436966550494,0.4367436966550494
20,20,0.4899184929223376,0.4367436966550494,0.4367436966550494
21,21,0.4609831234489961,0.4367436966550494,0.4367436966550494
22,22,0.47230283684596963,0.4367436966550494,0.4367436966550494
23,23,0.4490155820138388,0.4367436966550494,0.4367436966550494
24,24,0.4516952954108121,0.4367436966550494,0.4367436966550494
25,25,0.47955877952536424,0.4367436966550494,0.4367436966550494
26,26,0.4790228368459696,0.4367436966550494,0.4367436966550494
27,27,0.44815181129626,0.4367436966550494,0.4367436966550494
28,28,0.4785987795253643,0.4367436966550494,0.4367436966550494
29,29,0.46066312344899624,0.4367436966550494,0.4367436966550494
30,30,0.4647112380902068,0.4367436966550494,0.4367436966550494
31,31,0.4657909514871803,0.4367436966550494,0.4367436966550494
32,32,0.4890625502429429,0.4367436966550494,0.4367436966550494
33,33,0.45968746737262817,0.4367436966550494,0.4367436966550494
34,34,0.45296746737262816,0.4367436966550494,0.4367436966550494
35,35,0.46161529541081203,0.4367436966550494,0.4367436966550494
36,36,0.4622474673726281,0.4367436966550494,0.4367436966550494
37,37,0.4731431234489962,0.4367436966550494,0.4367436966550494
38,38,0.47475877952536427,0.4367436966550494,0.4367436966550494
39,39,0.4697428368459696,0.4367436966550494,0.4367436966550494
40,40,0.4739106648841536,0.4367436966550494,0.4367436966550494
41,41,0.4487034100520229,0.4367436966550494,0.4367436966550494
42,42,0.45842312344899616,0.4367436966550494,0.4367436966550494
43,43,0.4642793527314175,0.4367436966550494,0.4367436966550494
44,44,0.4622631234489961,0.4367436966550494,0.4367436966550494
45,45,0.48307095148718027,0.4367436966550494,0.4367436966550494
46,46,0.4848947222047588,0.4367436966550494,0.4367436966550494
47,47,0.47454283684596943,0.4367436966550494,0.4367436966550494
48,48,0.4683431234489961,0.4367436966550494,0.4367436966550494
49,49,0.4563912380902069,0.4367436966550494,0.4367436966550494
50,50,0.46620718076960155,0.4367436966550494,0.4367436966550494
0,51,0.4371677539756547,0.4371677539756547,0.4371677539756547
1,52,0.3934004991435238,0.3934004991435238,0.3934004991435238
2,53,0.4350396393344441,0.3934004991435238,0.3934004991435238
3,54,0.43526341005202285,0.3934004991435238,0.3934004991435238
4,55,0.316314104120473,0.316314104120473,0.316314104120473
5,56,0.288190001921635,0.288190001921635,0.288190001921635
6,57,0.3322100467998677,0.288190001921635,0.288190001921635
7,58,0.2967673776161627,0.288190001921635,0.288190001921635
8,59,0.3157625053647103,0.288190001921635,0.288190001921635
9,60,0.27321262622710724,0.27321262622710724,0.27321262622710724
10,61,0.49101196326458846,0.27321262622710724,0.27321262622710724
11,62,0.3129943907234996,0.27321262622710724,0.27321262622710724
12,63,0.29267000192163495,0.27321262622710724,0.27321262622710724
13,64,0.2836193078531848,0.27321262622710724,0.27321262622710724
14,65,0.30005902125015815,0.27321262622710724,0.27321262622710724
15,66,0.30420336517379004,0.27321262622710724,0.27321262622710724
16,67,0.28845520565434674,0.27321262622710724,0.27321262622710724
17,68,0.26820451158589653,0.26820451158589653,0.26820451158589653
18,69,0.28166799570044865,0.26820451158589653,0.26820451158589653
19,70,0.27601205302105397,0.26820451158589653,0.26820451158589653
20,71,0.34425721187553293,0.26820451158589653,0.26820451158589653
21,72,0.27641491905132015,0.26820451158589653,0.26820451158589653
22,73,0.3691689003877612,0.26820451158589653,0.26820451158589653
23,74,0.28930332029555733,0.26820451158589653,0.26820451158589653
24,75,0.3025352056543468,0.26820451158589653,0.26820451158589653
25,76,0.29729090660894747,0.26820451158589653,0.26820451158589653
26,77,0.31454742249439543,0.26820451158589653,0.26820451158589653
27,78,0.29266770909742207,0.26820451158589653,0.26820451158589653
28,79,0.2990833651737901,0.26820451158589653,0.26820451158589653
29,80,0.2868920530210539,0.26820451158589653,0.26820451158589653
30,81,0.2851879957004486,0.26820451158589653,0.26820451158589653
31,82,0.34855353091441976,0.26820451158589653,0.26820451158589653
32,83,0.3798329577083665,0.26820451158589653,0.26820451158589653
33,84,0.2738839383798433,0.26820451158589653,0.26820451158589653
34,85,0.27075668354771254,0.26820451158589653,0.26820451158589653
35,86,0.3107387346471315,0.26820451158589653,0.26820451158589653
36,87,0.29611172153979465,0.26820451158589653,0.26820451158589653
37,88,0.31693062000592087,0.26820451158589653,0.26820451158589653
